Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-02-21,KOTAKNIFTY,EQ,552.99,554.0,557.0,546.0,557.0,555.77,551.58,38398,2117971270000.0,,37940,0.9881000000000001
2011-02-22,KOTAKNIFTY,EQ,555.77,552.0,556.0,550.0,550.0,553.63,552.08,1469,81100275000.0,,1105,0.7522
2011-02-23,KOTAKNIFTY,EQ,553.63,552.0,560.0,547.0,558.0,552.94,556.58,5676,315915860000.0,,4807,0.8469
2011-02-24,KOTAKNIFTY,EQ,552.94,547.0,550.0,530.0,535.0,540.89,545.09,2565,139816224000.0,,2117,0.8253
2011-02-25,KOTAKNIFTY,EQ,540.89,540.0,540.0,532.0,537.0,536.71,534.41,4541,242675900000.0,,4531,0.9978
2011-02-28,KOTAKNIFTY,EQ,536.71,537.0,551.0,537.0,538.0,538.18,540.96,479,25911980000.0,,416,0.8684999999999999
2011-03-01,KOTAKNIFTY,EQ,538.18,543.0,556.0,543.0,556.0,555.15,549.21,19308,1060413565000.0,,19101,0.9893000000000001
2011-03-03,KOTAKNIFTY,EQ,555.15,554.0,560.0,552.0,554.0,554.0,555.35,497,27600800000.0,,138,0.2777
2011-03-04,KOTAKNIFTY,EQ,554.0,560.0,564.0,557.0,557.0,557.2,559.91,799,44736500000.0,,782,0.9787
2011-03-07,KOTAKNIFTY,EQ,557.2,549.0,551.0,544.0,544.0,544.0,547.73,197,10790200000.0,,170,0.8629000000000001
2011-03-08,KOTAKNIFTY,EQ,544.0,555.0,556.0,553.0,556.0,556.0,554.34,538,29823709999.999996,,414,0.7695000000000001
2011-03-09,KOTAKNIFTY,EQ,556.0,556.0,560.0,552.0,555.0,555.0,557.42,266,14827374000.0,,231,0.8684000000000001
2011-03-10,KOTAKNIFTY,EQ,555.0,553.0,554.0,551.0,554.0,554.0,553.08,107,5918005000.0,,75,0.7009000000000001
2011-03-11,KOTAKNIFTY,EQ,554.0,551.0,553.0,547.0,550.0,550.0,547.11,15783,863509560000.0,,15409,0.9763
2011-03-14,KOTAKNIFTY,EQ,550.0,549.0,558.0,549.0,556.0,556.0,554.54,596,33050350000.0,,385,0.6459999999999999
2011-03-15,KOTAKNIFTY,EQ,556.0,545.0,552.0,543.0,551.0,551.0,545.91,169,9225900000.0,,109,0.645
2011-03-16,KOTAKNIFTY,EQ,551.0,554.0,556.0,554.0,554.0,554.0,554.06,519,28755600000.0,,509,0.9806999999999999
2011-03-17,KOTAKNIFTY,EQ,554.0,553.0,554.0,552.0,552.0,552.0,552.1,545,30089500000.0,,545,1.0
2011-03-18,KOTAKNIFTY,EQ,552.0,552.0,552.0,544.0,546.0,546.0,546.1,51008,2785564500000.0,,50851,0.9969
2011-03-21,KOTAKNIFTY,EQ,546.0,543.0,544.0,541.0,543.0,543.0,542.89,685,37188300000.0,,257,0.37520000000000003
2011-03-22,KOTAKNIFTY,EQ,543.0,543.0,547.0,543.0,545.0,545.0,545.27,356,19411700000.0,,319,0.8961
2011-03-23,KOTAKNIFTY,EQ,545.0,545.5,552.0,545.5,550.0,550.0,550.12,894,49181000000.0,,740,0.8277
2011-03-24,KOTAKNIFTY,EQ,550.0,556.0,556.65,554.0,555.0,555.0,554.9,187,10376650000.0,,176,0.9412
2011-03-25,KOTAKNIFTY,EQ,555.0,560.0,569.0,559.0,569.0,565.07,562.16,1921,107991205000.0,,1541,0.8022
